idDB4A	idDB4A	idDB4A	idDB4A	idDB4A	idDB4A	idDB4A	idDB4A	
EMG_CH2_24BIT	EMG_CH2_24BIT	ECG_EMG_Status1	ECG_EMG_Status1	Timestamp	Timestamp	EMG_CH1_24BIT	EMG_CH1_24BIT	
UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	
no_units	mV	no_units	no_units	ms	Ticks	mV	no_units	
754460.0	54.412884046183116	128.0	128.0	168899.99389648438	5534515.0	-84.48688202940012	-1171450.0	
754475.0	54.41396587061475	128.0	128.0	168900.97045898438	5534547.0	-84.34912971843836	-1169540.0	
754220.0	54.39557485527693	128.0	128.0	168901.94702148438	5534579.0	-84.28818694212282	-1168695.0	
754515.0	54.416850735765784	128.0	128.0	168902.92358398438	5534611.0	-84.27736869780645	-1168545.0	
755235.0	54.46877830848435	128.0	128.0	168903.90014648438	5534643.0	-84.30441430859737	-1168920.0	
755510.0	54.4886117563977	128.0	128.0	168904.87670898438	5534675.0	-84.31523255291374	-1169070.0	
754600.0	54.42298107421173	128.0	128.0	168905.85327148438	5534707.0	-84.33073870310054	-1169285.0	
754510.0	54.416490127621906	128.0	128.0	168906.82983398438	5534739.0	-84.31992045878417	-1169135.0	
754590.0	54.42225985792397	128.0	128.0	168907.80639648438	5534771.0	-84.31955985064029	-1169130.0	
755335.0	54.47599047136193	128.0	128.0	168908.78295898438	5534803.0	-84.34660546143121	-1169505.0	
755410.0	54.48139959352012	128.0	128.0	168909.75952148438	5534835.0	-84.3707662070711	-1169840.0	
755085.0	54.457960064167985	128.0	128.0	168910.73608398438	5534867.0	-84.37617532922928	-1169915.0	
755900.0	54.51673919162026	128.0	128.0	168911.71264648438	5534899.0	-84.39672999343038	-1170200.0	
755385.0	54.47959655280072	128.0	128.0	168912.68920898438	5534931.0	-84.47750621765927	-1171320.0	
755655.0	54.49906939257019	128.0	128.0	168913.66577148438	5534963.0	-84.6156191367649	-1173235.0	
755875.0	54.514936150900866	128.0	128.0	168914.64233398438	5534995.0	-84.680889210807	-1174140.0	
755550.0	54.491496621548734	128.0	128.0	168915.61889648438	5535027.0	-84.73534104053272	-1174895.0	
754995.0	54.45146911757816	128.0	128.0	168916.59545898438	5535059.0	-84.73425921610108	-1174880.0	
755530.0	54.49005418897322	128.0	128.0	168917.57202148438	5535091.0	-84.70541056459076	-1174480.0	
755545.0	54.491136013404855	128.0	128.0	168918.54858398438	5535123.0	-84.61958582634757	-1173290.0	
755540.0	54.490775405260976	128.0	128.0	168919.52514648438	5535155.0	-84.5128458157594	-1171810.0	
755025.0	54.45363276644144	128.0	128.0	168920.50170898438	5535187.0	-84.41656344134373	-1170475.0	
755945.0	54.51998466491517	128.0	128.0	168921.47827148438	5535219.0	-84.30008701087083	-1168860.0	
755485.0	54.48680871567831	128.0	128.0	168922.45483398438	5535251.0	-84.29179302356161	-1168745.0	
756040.0	54.52683621964887	128.0	128.0	168923.43139648438	5535283.0	-84.30369309230962	-1168910.0	
755615.0	54.49618452741916	128.0	128.0	168924.40795898438	5535315.0	-84.31451133662598	-1169060.0	
756255.0	54.542342369835666	128.0	128.0	168925.38452148438	5535347.0	-84.32172349950356	-1169160.0	
755885.0	54.51565736718862	128.0	128.0	168926.36108398438	5535379.0	-84.32136289135968	-1169155.0	
755810.0	54.51024824503044	128.0	128.0	168927.33764648438	5535411.0	-84.32929627052502	-1169265.0	
754975.0	54.45002668500265	128.0	128.0	168928.31420898438	5535443.0	-84.35742370574758	-1169655.0	
756165.0	54.535851423245845	128.0	128.0	168929.29077148438	5535475.0	-84.38050262695583	-1169975.0	
755650.0	54.49870878442631	128.0	128.0	168930.26733398438	5535507.0	-84.39492695271099	-1170175.0	
755500.0	54.487890540109944	128.0	128.0	168931.24389648438	5535539.0	-84.39672999343038	-1170200.0	
755675.0	54.50051182514571	128.0	128.0	168932.22045898438	5535571.0	-84.43964236255198	-1170795.0	
755855.0	54.51349371832535	128.0	128.0	168933.19702148438	5535603.0	-84.56188852332694	-1172490.0	
755635.0	54.497626959994676	128.0	128.0	168934.17358398438	5535635.0	-84.64338596384358	-1173620.0	
756085.0	54.53008169294378	128.0	128.0	168935.15014648438	5535667.0	-84.70504995644689	-1174475.0	
756295.0	54.5452272349867	128.0	128.0	168936.12670898438	5535699.0	-84.7115409030367	-1174565.0	
755910.0	54.51746040790802	128.0	128.0	168937.10327148438	5535731.0	-84.68629833296518	-1174215.0	
754925.0	54.44642060356386	128.0	128.0	168938.07983398438	5535763.0	-84.64879508600177	-1173695.0	
756020.0	54.525393787073355	128.0	128.0	168939.05639648438	5535795.0	-84.55647940116876	-1172415.0	
